company_name,market_cap,sector,country,industry,isin,symbol
PANTHEON INTERNATIONAL PLC ORD GBP0.067,1655241843,Finance,United Kingdom,Investment managers,GB00BP37WF17,ARG.PA
ARGAN,1654409984,Finance,France,Real estate development,FR0010481960,LAND.SW
LANDIS+GYR N,1644895030,Producer manufacturing,Switzerland,Industrial machinery,CH0371153492,TEP.L
TELECOM PLUS ORD GBP0.05,1644768217,Utilities,United Kingdom,Electric utilities,GB0008794710,BELL.SW
BELL FOOD GROUP N,1644247180,Consumer non-durables,Switzerland,Food: meat/fish/dairy,CH0315966322,SMWH.L
WH SMITH PLC ORD GBP0.220895,1640293860,Retail trade,United Kingdom,Food retail,GB00B2PDGW16,CEC.DE
CECONOMY AG,1638106398,Retail trade,Germany,Department stores,DE0007257503,BOSN.SW
BOSSARD N,1636929026,Producer manufacturing,Switzerland,Metal fabrication,CH0238627142,BHMG.L
BH MACRO LTD ORD NPV (GBP),1633979873,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GG00BQBFY362,FCSS.L
FIDELITY CHINA SPECIAL SITUATIONS ORD GBP0.01,1632401821,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00B62Z3C74,RBT.PA
ROBERTET,1625198364,Consumer non-durables,France,Food: specialty/candy,FR0000039091,TRMD-A.CO
TORM PLC A,1623299623,Transportation,United Kingdom,Marine shipping,GB00BZ3CNK81,FUR.AS
FUGRO,1619967249,Industrial services,Netherlands,Engineering & construction,NL00150003E1,ETL.PA
EUTELSAT COMMUNIC.,1619153436,Communications,France,Major telecommunications,FR0010221234,KTN.DE
KONTRON AG,1618288577,Electronic technology,Austria,Computer processing hardware,AT0000A0E9W5,HOC.L
HOCHSCHILD MINING PLC ORD GBP0.01,1616892487,Non-energy minerals,United Kingdom,Precious metals,GB00B1FW5029,ARION.IC
ARION BANKI HF.,1612103738,Finance,Iceland,Major banks,IS0000028157,TWEKA.AS
TKH GROUP N.V.,1611980026,Producer manufacturing,Netherlands,Electrical products,NL0000852523,SVS.L
SAVILLS ORD GBP0.025,1611813444,Finance,United Kingdom,Real estate development,GB00B135BJ46,THEON.AS
THEON INTERNATIONAL PLC,1610000000,Consumer durables,Cyprus,Electronics/Appliances,CY0200751713,SHOT.ST
SCANDIC HOTELS GROUP AB,1604138485,Consumer services,Sweden,Hotels/Resorts/Cruise lines,SE0007640156,NCC-A.ST
NCC AB SER. A,1601743280,Industrial services,Sweden,Engineering & construction,SE0000118952,PHM.MC
"PHARMA MAR, S.A.",1597965353,Health technology,Spain,Pharmaceuticals: other,ES0169501022,NYF.ST
NYFOSA AB,1592805593,Finance,Sweden,Real estate development,SE0011426428,MOL.MI
MOLTIPLY GROUP,1590701918,Commercial services,Italy,Miscellaneous commercial services,IT0004195308,COA.L
COATS GROUP PLC ORD GBP0.05,1586854415,Process industries,United Kingdom,Textiles,GB00B4YZN328,SAFE.L
SAFESTORE HOLDINGS PLC ORD GBP0.01,1586530185,Finance,United Kingdom,Real estate investment trusts,GB00B1N7Z094,GLPG.AS
GALAPAGOS,1582847696,Health technology,Belgium,Biotechnology,BE0003818359,IREN.SW
INVESTIS N,1575239316,Finance,Switzerland,Real estate development,CH0325094297,GEST.MC
"GESTAMP AUTOMOCION, S.A.",1574630878,Producer manufacturing,Spain,Auto parts: OEM,ES0105223004,MAB.L
MITCHELLS & BUTLERS PLC ORD GBP0.085416,1572146298,Consumer services,United Kingdom,Restaurants,GB00B1FP6H53,VIO.BR
VIOHALCO SA/NV (CB),1570689920,Non-energy minerals,Belgium,Other metals/Minerals,BE0974271034,HAS.L
HAYS PLC ORD GBP0.01,1567712066,Commercial services,United Kingdom,Personnel services,GB0004161021,GYC.DE
GRAND CITY PROPERTIES S.A.,1561425756,Finance,Luxembourg,Real estate development,LU0775917882,WWI.OL
WILH. WILHELMSEN HLDG ASA,1561398525,Transportation,Norway,Other transportation,NO0010571698,ICAD.PA
ICADE,1559240326,Finance,France,Real estate development,FR0000035081,ARIS.MI
ARISTON HOLDING,1555864376,Producer manufacturing,Italy,Industrial machinery,NL0015000N33,FGT.L
FINSBURY GROWTH & INCOME TRUST ORD GBP0.25,1553911125,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0007816068,RWAY.MI
RAI WAY,1548521808,Consumer services,Italy,Broadcasting,IT0005054967,TTALO.HE
TERVEYSTALO PLC,1535887432,Health services,Finland,Medical/Nursing services,FI4000252127,ERA.PA
ERAMET,1535275451,Producer manufacturing,France,Metal fabrication,FR0000131757,BFF.MI
BFF BANK,1534812598,Finance,Italy,Finance/Rental/Leasing,IT0005244402,PFV.F
PFEIFFER VACUUM TECHNOLOGY,1533434237,Producer manufacturing,Germany,Electrical products,DE0006916604,GNS.L
GENUS ORD GBP0.10,1531923695,Process industries,United Kingdom,Agricultural commodities/Milling,GB0002074580,SZG.DE
SALZGITTER AG,1530069568,Non-energy minerals,Germany,Steel,DE0006202005,BAMNB.AS
KONINKLIJKE BAM GROEP N.V.,1526703564,Industrial services,Netherlands,Engineering & construction,NL0000337319,PHP.L
PRIMARY HEALTH PROPERTIES PLC ORD GBP0.125,1526277412,Finance,United Kingdom,Real estate investment trusts,GB00BYRJ5J14,BLV.PA
BELIEVE,1517326854,Consumer services,France,Movies/Entertainment,FR0014003FE9,BNOR.OL
BLUENORD ASA,1516760296,Energy minerals,Norway,Oil & gas production,NO0010379266,STF.PA
STEF,1516097889,Transportation,France,Trucking,FR0000064271,BRG.OL
BORREGAARD ASA,1511122570,Process industries,Norway,Chemicals: major diversified,NO0010657505,DEQ.DE
DEUTSCHE EUROSHOP AG,1509405606,Finance,Germany,Real estate development,DE0007480204,SRE.L
SIRIUS REAL ESTATE LTD ORD NPV,1508852814,Finance,United Kingdom,Real estate development,GG00B1W3VF54,PRODEA.AT
PRODEA INVESTMENTS,1507417795,Finance,Greece,Real estate investment trusts,GRS509003018,HUBN.SW
HUBER+SUHNER N,1506432005,Electronic technology,Switzerland,Telecommunications equipment,CH0030380734,CLARI.PA
CLARIANE SE,1501772453,Health services,France,Medical/Nursing services,FR0010386334,BUFAB.ST
BUFAB AB,1499039972,Distribution services,Sweden,Wholesale distributors,SE0005677135,BIOA-B.ST
BIOARCTIC AB SER. B,1498805754,Health technology,Sweden,Pharmaceuticals: major,SE0010323311,MEL.MC
"MELIA HOTELS INTERNATIONAL, S.A.",1495810461,Consumer services,Spain,Hotels/Resorts/Cruise lines,ES0176252718,YUBICO.ST
YUBICO AB,1495421393,Distribution services,Sweden,Electronics distributors,SE0015657788,SSPG.L
SSP GROUP PLC ORD GBP0.01085,1494740455,Consumer services,United Kingdom,Restaurants,GB00BGBN7C04,SYSR.ST
SYSTEMAIR AB,1492802688,Producer manufacturing,Sweden,Industrial machinery,SE0016609499,NOLA-B.ST
NOLATO AB SER. B,1485916162,Electronic technology,Sweden,Electronic production equipment,SE0015962477,BNKR.L
BANKERS INVESTMENT TRUST ORD GBP0.025,1484768619,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BN4NDR39,MONT.BR
MONTEA NV,1483425825,Finance,Belgium,Real estate investment trusts,BE0003853703,ENO.MC
ELECNOR S.A.,1481898136,Industrial services,Spain,Engineering & construction,ES0129743318,AQ.ST
AQ GROUP AB,1475725308,Producer manufacturing,Sweden,Electrical products,SE0022062196,HMSO.L
HAMMERSON ORD GBP0.05,1468767481,Finance,United Kingdom,Real estate investment trusts,GB00BRJQ8J25,OPM.PA
OPMOBILITY,1466186702,Producer manufacturing,France,Auto parts: OEM,FR0000124570,MVC.MC
"METROVACESA, S.A.",1466015929,Finance,Spain,Real estate development,ES0105122024,PSM.DE
PROSIEBENSAT1 MEDIA SE,1458041150,Consumer services,Germany,Movies/Entertainment,DE000PSM7770,WAC.DE
WACKER NEUSON SE,1457977428,Producer manufacturing,Germany,Trucks/Construction/Farm machinery,DE000WACK012,TPK.L
TRAVIS PERKINS ORD GBP0.11205105,1454673478,Retail trade,United Kingdom,Home improvement chains,GB00BK9RKT01,JDAN.CO
JEUDAN A/S,1454533020,Finance,Denmark,Real estate development,DK0061282464,KSB.DE
KSB SE & CO. KGAA,1451335801,Producer manufacturing,Germany,Industrial machinery,DE0006292006,SANOMA.HE
SANOMA CORPORATION,1449633732,Consumer services,Finland,Publishing: newspapers,FI0009007694,AKSO.OL
AKER SOLUTIONS ASA,1441525181,Utilities,Norway,Alternative power generation,NO0010716582,TRN.L
TRAINLINE PLC ORD GBP0.01,1441521862,Consumer services,United Kingdom,Other consumer services,GB00BKDTK925,GPE.L
GREAT PORTLAND ESTATES ORD GBP0.15263157894,1439666006,Finance,United Kingdom,Real estate investment trusts,GB00BF5H9P87,DOM.ST
DOMETIC GROUP AB,1429910628,Consumer durables,Sweden,Motor vehicles,SE0007691613,LIAB.ST
LINDAB INTERNATIONAL AB,1429690889,Producer manufacturing,Sweden,Industrial machinery,SE0001852419,TESB.BR
TESSENDERLO GROUP,1426928753,Process industries,Belgium,Chemicals: agricultural,BE0003555639,BYIT.L
BYTES TECHNOLOGY GROUP PLC ORD GBP0.01,1426818633,Technology services,United Kingdom,Information technology services,GB00BMH18Q19,LWDB.L
LAW DEBENTURE CORP ORD GBP0.05,1422201635,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0031429219,UIE.CO
UIE PLC,1421721113,Process industries,Malta,Agricultural commodities/Milling,MT0002400118,HAVAS.AS
HAVAS,1420274142,Commercial services,France,Advertising/Marketing services,NL0015002AH0,ALHG.PA
LOUIS HACHETTE GROUP,1418555091,Miscellaneous,France,Miscellaneous,FR001400TL40,OERL.SW
OC OERLIKON N,1418012525,Process industries,Switzerland,Textiles,CH0000816824,SVEG.OL
SPAREBANKEN VEST,1415653525,Finance,Norway,Major banks,NO0006000900,HBH.F
HORNBACH HLDG AG & CO KGAA,1415408499,Retail trade,Germany,Home improvement chains,DE0006083405,FAGR.BR
FAGRON,1414242823,Distribution services,Belgium,Medical distributors,BE0003874915,SEQI.L
SEQUOIA ECONOMIC INFRAST INC FD LTD NPV,1400180933,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GG00BV54HY67,BIO.DE
BIOTEST AG,1396872264,Health technology,Germany,Pharmaceuticals: other,DE0005227201,ALIG.ST
ALIMAK GROUP AB,1393739901,Producer manufacturing,Sweden,Trucks/Construction/Farm machinery,SE0007158910,PRO.MC
"PROEDUCA ALTUS, S.A.",1391196902,Consumer services,Spain,Other consumer services,ES0105400008,CAF.MC
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A.",1388370541,Producer manufacturing,Spain,Trucks/Construction/Farm machinery,ES0121975009,DNR.MI
INDUSTRIE DE NORA,1384568677,Process industries,Italy,Chemicals: specialty,IT0005186371,HAUTO.OL
HOEGH AUTOLINERS ASA,1382130643,Transportation,Norway,Marine shipping,NO0011082075,HFG.F
HELLOFRESH SE,1379153195,Retail trade,Germany,Internet retail,DE000A161408,AFG.OL
AF GRUPPEN ASA,1378855743,Industrial services,Norway,Engineering & construction,NO0003078107,ENGCON-B.ST
ENGCON AB SER. B,1374285620,Producer manufacturing,Sweden,Trucks/Construction/Farm machinery,SE0017769847,FII.PA
LISI,1373571825,Electronic technology,France,Aerospace & defense,FR0000050353,METSA.HE
METSA BOARD OYJ A,1367965640,Process industries,Finland,Pulp & paper,FI0009000640,WAF.DE
SILTRONIC AG,1366800041,Producer manufacturing,Germany,Industrial machinery,DE000WAF3001,TABAK.PR
PHILIP MORRIS(CZ),1364725070,Consumer non-durables,Czech Republic,Tobacco,CS0008418869,GRKP.SW
GRAUB KB PS,1364719770,Finance,Switzerland,Regional banks,CH0001340204,DOM.L
DOMINO'S PIZZA GROUP PLC ORD GBP0.00520833,1359420388,Consumer services,United Kingdom,Restaurants,GB00BYN59130,ISN.SW
INTERSHOP N,1359003880,Finance,Switzerland,Real estate development,CH1338987303,ECMPA.AS
EUROCOMMERCIAL PROPERTIES,1351804829,Finance,Netherlands,Real estate investment trusts,NL0015000K93,TATT.AT
ATTICA BANK S.A,1346186286,Finance,Greece,Regional banks,GRS001003052,JMG.L
JPMORGAN EMER MKTS INVEST TRUST ORD GBP0.025,1344474454,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BMXWN182,FLUX.BR
FLUXYS BELGIUM,1342032886,Utilities,Belgium,Gas distributors,BE0974265945,DOM.WA
DOMDEV,1340793195,Finance,Poland,Real estate development,PLDMDVL00012,FAN.L
VOLUTION GRP PLC ORD GBP0.01,1339832265,Producer manufacturing,United Kingdom,Industrial machinery,GB00BN3ZZ526,PEP.WA
PEP,1338355988,Utilities,Poland,Electric utilities,PLPLSEP00013,ASL.L
ABERFORTH SMALLER COMPANIES TRUST ORD GBP0.01,1337333099,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0000066554,TIP.MI
TAMBURI,1336259028,Finance,Italy,Financial conglomerates,IT0003153621,OHB.DE
OHB SE,1334344599,Electronic technology,Germany,Telecommunications equipment,DE0005936124,SPT.L
SPIRENT COMMUNICATIONS ORD GBP0.03333,1333903649,Electronic technology,United Kingdom,Electronic equipment/Instruments,GB0004726096,WUW.DE
WUSTENROT & WURTTEMBERGISCHE AG,1331983927,Finance,Germany,Multi-line insurance,DE0008051004,TRE.MC
TECNICAS REUNIDAS S.A.,1331429955,Industrial services,Spain,Engineering & construction,ES0178165017,AIXA.DE
AIXTRON SE,1330129339,Producer manufacturing,Germany,Industrial machinery,DE000A0WMPJ6,CLAS-B.ST
CLAS OHLSON AB SER. B,1324367574,Retail trade,Sweden,Home improvement chains,SE0000584948,YSN.DE
SECUNET SECURITY AG,1319778402,Technology services,Germany,Information technology services,DE0007276503,HTWS.L
HELIOS TOWERS PLC ORD GBP0.01,1316082662,Communications,United Kingdom,Specialty telecommunications,GB00BJVQC708,OXIG.L
OXFORD INSTRUMENTS PLC ORD GBP0.05,1314507074,Electronic technology,United Kingdom,Electronic equipment/Instruments,GB0006650450,FOUR.L
4IMPRINT GROUP PLC ORD 38 6/13P,1312944664,Commercial services,United Kingdom,Commercial printing/Forms,GB0006640972,JEN.DE
JENOPTIK AG,1310752862,Electronic technology,Germany,Electronic components,DE000A2NB601,MONY.L
MONY GROUP PLC ORD GBP0.0002,1310547854,Technology services,United Kingdom,Internet software/Services,GB00B1ZBKY84,LDA.MC
"LINEA DIRECTA ASEGURADORA, S.A., COMPANIA DE SEGUROS Y REASEGUROS",1305475101,Finance,Spain,Multi-line insurance,ES0105546008,ALPH.L
ALPHA GROUP INTERNATIONAL PLC ORD GBP0.002,1304456379,Finance,United Kingdom,Regional banks,GB00BF1TM596,HBMN.SW
HBM N,1301101119,Finance,Switzerland,Investment managers,CH0012627250,CKN.L
CLARKSON ORD GBP0.25,1300305672,Transportation,United Kingdom,Marine shipping,GB0002018363,NP3.ST
NP3 FASTIGHETER AB,1299998074,Finance,Sweden,Real estate development,SE0006342333,ATEA.OL
ATEA ASA,1295006060,Technology services,Norway,Information technology services,NO0004822503,PAAL-B.CO
PER AARSLEFF HOLDING A/S B,1292910800,Industrial services,Denmark,Engineering & construction,DK0060700516,CRN.L
CAIRN HOMES PLC ORD EUR0.001 (CDI),1290113798,Consumer durables,Ireland,Homebuilding,IE00BWY4ZF18,MTG-A.ST
MODERN TIMES GROUP MTG AB SER. A,1290109555,Technology services,Sweden,Packaged software,SE0018012486,IHP.L
INTEGRAFIN HOLDINGS PLC ORD GBP0.01,1289717423,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BD45SH49,EDIN.L
EDINBURGH INVESTMENT TST PLC (THE) ORD GBP0.25,1287208029,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0003052338,SEM.LS
SEMAPA,1284065962,Process industries,Portugal,Pulp & paper,PTSEM0AM0004,REHN.SW
ROMANDE ENERGIE N,1280148066,Utilities,Switzerland,Electric utilities,CH1263676327,FORN.SW
FORBO N,1277198508,Consumer durables,Switzerland,Home furnishings,CH0003541510,DIGI.RO
DIGI COMMUNICATIONS N.V.,1276882644,Consumer services,Romania,Cable/Satellite TV,NL0012294474,PETS.L
PETS AT HOME GROUP PLC ORD GBP0.01,1276358221,Retail trade,United Kingdom,Specialty stores,GB00BJ62K685,ANOD-B.ST
ADDNODE GROUP AB SER. B,1274955880,Technology services,Sweden,Information technology services,SE0017885767,GRNG.ST
GRANGES AB,1274551427,Non-energy minerals,Sweden,Aluminum,SE0006288015,BFIT.AS
BASIC-FIT,1269179970,Consumer services,Netherlands,Other consumer services,NL0011872650,INTEA-B.ST
INTEA FASTIGHETER AB SER. B,1268993931,Finance,Sweden,Real estate development,SE0017072259,WOSG.L
WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,1268290843,Retail trade,United Kingdom,Specialty stores,GB00BJDQQ870,FSV.L
FIDELITY SPECIAL VALUES PLC ORD GBP0.05,1266243159,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BWXC7Y93,ICOS.MI
INTERCOS,1266223273,Consumer non-durables,Italy,Household/Personal care,IT0005455875,DIA.MC
"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",1265311976,Retail trade,Spain,Food retail,ES0126775008,NEWA-B.ST
NEW WAVE GROUP AB SER. B,1259948576,Consumer non-durables,Sweden,Apparel/Footwear,SE0020356970,HRI.L
HERALD INVESTMENT TRUST ORD GBP0.25,1256070133,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0004228648,ASHM.L
ASHMORE GROUP ORD GBP0.0001,1254048195,Finance,United Kingdom,Investment managers,GB00B132NW22,WAVE.PA
WAVESTONE,1253666909,Commercial services,France,Miscellaneous commercial services,FR0013357621,NONG.OL
SPAREBANK 1 NORD-NORGE,1253504393,Finance,Norway,Major banks,NO0006000801,HHFA.DE
HAMBURGER HAFEN UND LOGISTIK AG,1251607853,Transportation,Germany,Other transportation,DE000A0S8488,BIM.SW
BONHOTE IMMOBILIER SICAV-BIM,1242210618,Miscellaneous,Switzerland,Investment trusts/Mutual funds,CH0026725611,SKIS-B.ST
SKISTAR AB SER. B,1241105706,Consumer services,Sweden,Hotels/Resorts/Cruise lines,SE0012141687,ALTR.LS
ALTRI SGPS,1241046631,Process industries,Portugal,Pulp & paper,PTALT0AE0002,PAGE.L
PAGEGROUP PLC ORD GBP0.01,1237341796,Commercial services,United Kingdom,Personnel services,GB0030232317,SENS.SW
SENSIRION N,1237006003,Electronic technology,Switzerland,Semiconductors,CH0406705126,AGT.L
AVI GLOBAL TRUST PLC ORD GBP0.02,1223806466,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BLH3CY60,4IG.BD
4IG SHARE,1222268709,Technology services,Hungary,Packaged software,HU0000167788,XIOR.BR
XIOR STUDENT HOUSI,1220993488,Consumer services,Belgium,Hotels/Resorts/Cruise lines,BE0974288202,ELK.OL
ELKEM ASA,1220229838,Non-energy minerals,Norway,Aluminum,NO0010816093,BOY.L
BODYCOTE PLC ORD GBP0.1727272,1219390391,Electronic technology,United Kingdom,Aerospace & defense,GB00B3FLWH99,CHG.L
CHEMRING GROUP ORD GBP0.01,1218111403,Electronic technology,United Kingdom,Aerospace & defense,GB00B45C9X44,LNZ.VI
LENZING AG,1216472649,Process industries,Austria,Textiles,AT0000644505,ENG.WA
ENERGA,1212666402,Utilities,Poland,Electric utilities,PLENERG00022,VOS.DE
VOSSLOH AG,1211401547,Producer manufacturing,Germany,Trucks/Construction/Farm machinery,DE0007667107,CHEMM.CO
CHEMOMETEC A/S,1210652384,Health technology,Denmark,Medical specialties,DK0060055861,NRO.PA
NEURONES,1210294007,Commercial services,France,Miscellaneous commercial services,FR0004050250,KLR.L
KELLER GROUP PLC ORD GBP0.10,1206319313,Industrial services,United Kingdom,Engineering & construction,GB0004866223,CURY.L
CURRYS PLC ORD GBP0.001,1206273942,Distribution services,United Kingdom,Wholesale distributors,GB00B4Y7R145,IF.MI
BANCA IFIS,1206050064,Finance,Italy,Regional banks,IT0003188064,DOU.DE
DOUGLAS AG,1200769177,Retail trade,Germany,Specialty stores,DE000BEAU7Y1,COP.DE
COMPUGROUP MEDICAL SE & CO. KGAA,1197074856,Health services,Germany,Services to the health industry,DE000A288904,LAMDA.AT
LAMDA DEVELOPMENT S.A.,1191205485,Finance,Greece,Real estate development,GRS245213004,NXU.DE
NEXUS AG,1190773796,Technology services,Germany,Packaged software,DE0005220909,OPG.WA
ORCOGROUP,1189628194,Finance,Luxembourg,Real estate investment trusts,LU0122624777,BBGI.L
BBGI GLOBAL INFRASTRUCTURE S.A. ORD NPV (DI),1189395006,Miscellaneous,Luxembourg,Investment trusts/Mutual funds,LU0686550053,EPR.OL
EUROPRIS ASA,1188179581,Retail trade,Norway,Discount stores,NO0010735343,VSVS.L
VESUVIUS PLC ORD GBP0.10,1187560735,Producer manufacturing,United Kingdom,Miscellaneous manufacturing,GB00B82YXW83,NCH2.F
THYSSENKRUPP NUCERA AG & CO. KGAA,1186097916,Industrial services,Germany,Engineering & construction,DE000NCA0001,FSKRS.HE
FISKARS CORPORATION,1182713636,Consumer durables,Finland,Tools & hardware,FI0009000400,A3M.MC
"ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.",1182186710,Consumer services,Spain,Broadcasting,ES0109427734,DNO.OL
DNO ASA,1178744531,Energy minerals,Norway,Integrated oil,NO0003921009,CRBN.AS
CORBION,1177262704,Consumer non-durables,Netherlands,Food: specialty/candy,NL0010583399,OPTIMA.AT
OPTIMA BANK S.A. (CR),1177042934,Finance,Greece,Regional banks,GRS533003000,BRKN.SW
BURKHALTER N,1173296461,Industrial services,Switzerland,Engineering & construction,CH0212255803,BAKK.L
BAKKAVOR GROUP PLC ORD GBP0.02,1171189437,Consumer non-durables,United Kingdom,Food: specialty/candy,GB00BF8J3Z99,NEAG.SW
NATURENERGIE N,1168731040,Utilities,Switzerland,Electric utilities,CH0039651184,ONT.L
OXFORD NANOPORE TECHNOLOGIES PLC ORD GBP0.0001,1165572596,Electronic technology,United Kingdom,Electronic equipment/Instruments,GB00BP6S8Z30,JUVE.MI
JUVENTUS FC,1165230902,Consumer services,Italy,Movies/Entertainment,IT0005572778,TIFS.L
TI FLUID SYSTEMS PLC ORD GBP0.01,1162669242,Producer manufacturing,United Kingdom,Auto parts: OEM,GB00BYQB9V88,AERO.SW
MONTANA N,1161447793,Electronic technology,Switzerland,Aerospace & defense,CH1110425654,EUZ.DE
ECKERT & ZIEGLER SE,1161313612,Health technology,Germany,Medical specialties,DE0005659700,BDB.MI
BCO DESIO BRIANZA,1155522302,Finance,Italy,Regional banks,IT0001041000,ZUGN.SW
ZUG ESTATES HOLDING AG,1155331626,Finance,Switzerland,Real estate development,CH0148052126,DHG.IR
Dalata Hotel Group PLC,1153819412,Consumer services,Ireland,Hotels/Resorts/Cruise lines,IE00BJMZDW83,TRST.L
TRUSTPILOT GROUP PLC ORD GBP0.01,1150074815,Technology services,United Kingdom,Internet software/Services,GB00BNK9TP58,BILI-A.ST
BILIA AB SER. A,1149413081,Retail trade,Sweden,Specialty stores,SE0009921588,JFJ.L
JPMORGAN JAPANESE INV TRUST PLC ORD GBP0.25,1145509706,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0001740025,BFG.MI
B.F,1144430395,Process industries,Italy,Agricultural commodities/Milling,IT0005187460,YOU.BE
ABOUT YOU HOLDING SE,1143353250,Retail trade,Germany,Apparel/Footwear retail,DE000A3CNK42,OVH.PA
OVH GROUPE,1141587514,Technology services,France,Information technology services,FR0014005HJ9,ELG.DE
ELMOS SEMICONDUCTOR SE,1139475330,Electronic technology,Germany,Semiconductors,DE0005677108,BEIA-B.ST
BEIJER ALMA AB SER. B,1136693287,Producer manufacturing,Sweden,Metal fabrication,SE0011090547,PSG.MC
PROSEGUR,1135758026,Commercial services,Spain,Miscellaneous commercial services,ES0175438003,EVT.DE
EVOTEC SE INH O.N.,1135199538,Health technology,Germany,Pharmaceuticals: major,DE0005664809,SES.MI
SESA,1134120026,Distribution services,Italy,Electronics distributors,IT0004729759,BRWM.L
BLACKROCK WORLD MINING TRUST PLC ORD GBP0.05,1130480156,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0005774855,SUPR.L
SUPERMARKET INCOME REIT PLC ORD GBP0.01,1128695644,Finance,United Kingdom,Real estate investment trusts,GB00BF345X11,PAL.VI
PALFINGER AG,1127797737,Producer manufacturing,Austria,Trucks/Construction/Farm machinery,AT0000758305,GDS.PA
RAMSAY GENERALE DE SANTE,1125689028,Health services,France,Medical/Nursing services,FR0000044471,TFG.AS
TETRAGON FINANCIAL GROUP,1124758543,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GG00B1RMC548,RPI.L
RASPBERRY PI HOLDINGS PLC ORD GBP0.0025,1122038216,Electronic technology,United Kingdom,Computer processing hardware,GB00BS3DYQ52,STG.CO
SCANDINAVIAN TOBACCO GROUP A/S,1121101174,Consumer non-durables,Denmark,Tobacco,DK0060696300,FGP.L
FIRSTGROUP ORD GBP0.05,1121097313,Transportation,United Kingdom,Other transportation,GB0003452173,LHV1T.TL
LHV GROUP,1121013873,Finance,Estonia,Major banks,EE3100102203,INWI.ST
INWIDO AB,1120078670,Non-energy minerals,Sweden,Forest products,SE0006220018,HEIJM.AS
KONINKLIJKE HEIJMANS N.V.,1119728759,Industrial services,Netherlands,Engineering & construction,NL0009269109,AEDAS.MC
"AEDAS HOMES, S.A",1115475295,Finance,Spain,Real estate development,ES0105287009,MAU.PA
MAUREL ET PROM,1115301716,Energy minerals,France,Integrated oil,FR0000051070,NORCO.OL
NORCONSULT ASA,1113289925,Industrial services,Norway,Engineering & construction,NO0013052209,GEN.L
GENUIT GROUP PLC ORD GBP0.001,1112475995,Producer manufacturing,United Kingdom,Miscellaneous manufacturing,GB00BKRC5K31,TRY.L
TR PROPERTY INVESTMENT TRUST ORD GBP0.25,1111609631,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0009064097,SCATC.OL
SCATEC ASA,1110837761,Utilities,Norway,Alternative power generation,NO0010715139,FAE.MC
"FAES FARMA, S.A.",1106552908,Health technology,Spain,Pharmaceuticals: major,ES0134950F36,JFN.SW
JUNGFRAUBAHN HLD N,1104095934,Transportation,Switzerland,Railroads,CH0017875789,AEGN.AT
AEGEAN AIRLINES (CR),1103447049,Transportation,Greece,Airlines,GRS495003006,BAR.BR
BARCO,1102743579,Electronic technology,Belgium,Electronic equipment/Instruments,BE0974362940,EDR.MC
"EDREAMS ODIGEO, S.A.",1102211111,Consumer services,Spain,Other consumer services,LU1048328220,TKTT.PA
TARKETT,1101243127,Non-energy minerals,France,Forest products,FR0004188670,MED.SW
MEDARTIS N,1098493346,Health technology,Switzerland,Medical specialties,CH0386200239,RATO-A.ST
RATOS AB SER. A,1097918061,Finance,Sweden,Financial conglomerates,SE0000191090,SFER.MI
SALVATORE FERRAGAMO,1094337340,Consumer non-durables,Italy,Apparel/Footwear,IT0004712375,NA9.BE
NAGARRO SE,1090981055,Technology services,Germany,Information technology services,DE000A3H2200,AEVS.SW
AEVIS N,1088302872,Health services,Switzerland,Hospital/Nursing management,CH0478634105,PNE3.DE
PNE AG,1088246651,Utilities,Germany,Alternative power generation,DE000A0JBPG2,TGN.RO
SNTGN TRANSGAZ MEDIAS,1087032207,Utilities,Romania,Gas distributors,ROTGNTACNOR8,FUTR.L
FUTURE PLC ORD GBP0.15,1082718231,Consumer services,United Kingdom,Publishing: books/magazines,GB00BYZN9041,HYQ.F
HYPOPORT SE,1079956082,Technology services,Germany,Packaged software,DE0005493365,CZG.PR
COLT CZ GROUP SE,1076736519,Electronic technology,Czech Republic,Aerospace & defense,CZ0009008942,POS.VI
PORR AG,1074241033,Industrial services,Austria,Engineering & construction,AT0000609607,KNOS.L
